ColorName,NumOfColors,Type,CritVal,ColorNum,ColorLetter,R,G,B,SchemeType
Accent,3,qual,,1,A,127,201,127,Qualitative
,,,,2,B,190,174,212,
,,,,3,C,253,192,134,
Accent,4,qual,,1,A,127,201,127,
,,,,2,B,190,174,212,
,,,,3,C,253,192,134,
,,,,4,D,255,255,153,
Accent,5,qual,,1,A,127,201,127,
,,,,2,B,190,174,212,
,,,,3,C,253,192,134,
,,,,4,D,255,255,153,
,,,,5,E,56,108,176,
Accent,6,qual,,1,A,127,201,127,
,,,,2,B,190,174,212,
,,,,3,C,253,192,134,
,,,,4,D,255,255,153,
,,,,5,E,56,108,176,
,,,,6,F,240,2,127,
Accent,7,qual,,1,A,127,201,127,
,,,,2,B,190,174,212,
,,,,3,C,253,192,134,
,,,,4,D,255,255,153,
,,,,5,E,56,108,176,
,,,,6,F,240,2,127,
,,,,7,G,191,91,23,
Accent,8,qual,,1,A,127,201,127,
,,,,2,B,190,174,212,
,,,,3,C,253,192,134,
,,,,4,D,255,255,153,
,,,,5,E,56,108,176,
,,,,6,F,240,2,127,
,,,,7,G,191,91,23,
,,,,8,H,102,102,102,
Blues,3,seq,,1,C,222,235,247,Sequential
,,,,2,F,158,202,225,
,,,,3,I,49,130,189,
Blues,4,seq,,1,B,239,243,255,
,,,,2,E,189,215,231,
,,,,3,G,107,174,214,
,,,,4,J,33,113,181,
Blues,5,seq,,1,B,239,243,255,
,,,,2,E,189,215,231,
,,,,3,G,107,174,214,
,,,,4,I,49,130,189,
,,,,5,K,8,81,156,
Blues,6,seq,,1,B,239,243,255,
,,,,2,D,198,219,239,
,,,,3,F,158,202,225,
,,,,4,G,107,174,214,
,,,,5,I,49,130,189,
,,,,6,K,8,81,156,
Blues,7,seq,,1,B,239,243,255,
,,,,2,D,198,219,239,
,,,,3,F,158,202,225,
,,,,4,G,107,174,214,
,,,,5,H,66,146,198,
,,,,6,J,33,113,181,
,,,,7,L,8,69,148,
Blues,8,seq,,1,A,247,251,255,
,,,,2,C,222,235,247,
,,,,3,D,198,219,239,
,,,,4,F,158,202,225,
,,,,5,G,107,174,214,
,,,,6,H,66,146,198,
,,,,7,J,33,113,181,
,,,,8,L,8,69,148,
Blues,9,seq,,1,A,247,251,255,
,,,,2,C,222,235,247,
,,,,3,D,198,219,239,
,,,,4,F,158,202,225,
,,,,5,G,107,174,214,
,,,,6,H,66,146,198,
,,,,7,J,33,113,181,
,,,,8,K,8,81,156,
,,,,9,M,8,48,107,
BrBG,3,div,2,1,E,216,179,101,Diverging
,,,,2,H,245,245,245,
,,,,3,K,90,180,172,
BrBG,4,div,2.5,1,C,166,97,26,
,,,,2,F,223,194,125,
,,,,3,J,128,205,193,
,,,,4,M,1,133,113,
BrBG,5,div,3,1,C,166,97,26,
,,,,2,F,223,194,125,
,,,,3,H,245,245,245,
,,,,4,J,128,205,193,
,,,,5,M,1,133,113,
BrBG,6,div,3.5,1,B,140,81,10,
,,,,2,E,216,179,101,
,,,,3,G,246,232,195,
,,,,4,I,199,234,229,
,,,,5,K,90,180,172,
,,,,6,N,1,102,94,
BrBG,7,div,4,1,B,140,81,10,
,,,,2,E,216,179,101,
,,,,3,G,246,232,195,
,,,,4,H,245,245,245,
,,,,5,I,199,234,229,
,,,,6,K,90,180,172,
,,,,7,N,1,102,94,
BrBG,8,div,4.5,1,B,140,81,10,
,,,,2,D,191,129,45,
,,,,3,F,223,194,125,
,,,,4,G,246,232,195,
,,,,5,I,199,234,229,
,,,,6,J,128,205,193,
,,,,7,L,53,151,143,
,,,,8,N,1,102,94,
BrBG,9,div,5,1,B,140,81,10,
,,,,2,D,191,129,45,
,,,,3,F,223,194,125,
,,,,4,G,246,232,195,
,,,,5,H,245,245,245,
,,,,6,I,199,234,229,
,,,,7,J,128,205,193,
,,,,8,L,53,151,143,
,,,,9,N,1,102,94,
BrBG,10,div,5.5,1,A,84,48,5,
,,,,2,B,140,81,10,
,,,,3,D,191,129,45,
,,,,4,F,223,194,125,
,,,,5,G,246,232,195,
,,,,6,I,199,234,229,
,,,,7,J,128,205,193,
,,,,8,L,53,151,143,
,,,,9,N,1,102,94,
,,,,10,O,0,60,48,
BrBG,11,div,6,1,A,84,48,5,
,,,,2,B,140,81,10,
,,,,3,D,191,129,45,
,,,,4,F,223,194,125,
,,,,5,G,246,232,195,
,,,,6,H,245,245,245,
,,,,7,I,199,234,229,
,,,,8,J,128,205,193,
,,,,9,L,53,151,143,
,,,,10,N,1,102,94,
,,,,11,O,0,60,48,
BuGn,3,seq,,1,C,229,245,249,Sequential
,,,,2,F,153,216,201,
,,,,3,I,44,162,95,
BuGn,4,seq,,1,B,237,248,251,
,,,,2,E,178,226,226,
,,,,3,G,102,194,164,
,,,,4,J,35,139,69,
BuGn,5,seq,,1,B,237,248,251,
,,,,2,E,178,226,226,
,,,,3,G,102,194,164,
,,,,4,I,44,162,95,
,,,,5,K,0,109,44,
BuGn,6,seq,,1,B,237,248,251,
,,,,2,D,204,236,230,
,,,,3,F,153,216,201,
,,,,4,G,102,194,164,
,,,,5,I,44,162,95,
,,,,6,K,0,109,44,
BuGn,7,seq,,1,B,237,248,251,
,,,,2,D,204,236,230,
,,,,3,F,153,216,201,
,,,,4,G,102,194,164,
,,,,5,H,65,174,118,
,,,,6,J,35,139,69,
,,,,7,L,0,88,36,
BuGn,8,seq,,1,A,247,252,253,
,,,,2,C,229,245,249,
,,,,3,D,204,236,230,
,,,,4,F,153,216,201,
,,,,5,G,102,194,164,
,,,,6,H,65,174,118,
,,,,7,J,35,139,69,
,,,,8,L,0,88,36,
BuGn,9,seq,,1,A,247,252,253,
,,,,2,C,229,245,249,
,,,,3,D,204,236,230,
,,,,4,F,153,216,201,
,,,,5,G,102,194,164,
,,,,6,H,65,174,118,
,,,,7,J,35,139,69,
,,,,8,K,0,109,44,
,,,,9,M,0,68,27,
