ColorName,NumOfColors,Type,CritVal,ColorNum,ColorLetter,R,G,B,SchemeType
OrPu,10,seq,,1,A,255,216,199,Sequential
,,,,2,B,255,186,158,
,,,,3,C,255,156,117,
,,,,4,D,255,126,76,
,,,,5,E,240,67,53,
,,,,6,F,217,46,33,
,,,,7,G,191,33,19,
,,,,8,H,157,24,11,
,,,,9,I,108,20,70,
,,,,10,J,73,13,48,
OrPu,6,seq,,1,C,255,156,117,
,,,,2,D,255,126,76,
,,,,3,E,240,67,53,
,,,,4,F,217,46,33,
,,,,5,G,191,33,19,
,,,,6,H,157,24,11,
OrPu,5,seq,,1,B,255,186,158,
,,,,2,D,255,126,76,
,,,,3,F,217,46,33,
,,,,4,H,157,24,11,
,,,,5,J,73,13,48,
OrPu,4,seq,,1,C,255,156,117,
,,,,2,E,240,67,53,
,,,,3,G,191,33,19,
,,,,4,I,108,20,70,
OrPu,3,seq,,1,A,255,216,199,
,,,,2,C,255,156,117,
,,,,3,E,240,67,53,
Blues,10,seq,,1,A,200,235,254,Sequential
,,,,2,B,164,220,249,
,,,,3,C,129,201,243,
,,,,4,D,99,179,232,
,,,,5,E,75,152,217,
,,,,6,F,53,121,197,
,,,,7,G,38,88,171,
,,,,8,H,27,60,142,
,,,,9,I,18,35,109,
,,,,10,J,12,14,74,
Blues,6,seq,,1,C,129,201,243,
,,,,2,D,99,179,232,
,,,,3,E,75,152,217,
,,,,4,F,53,121,197,
,,,,5,G,38,88,171,
,,,,6,H,27,60,142,
Blues,5,seq,,1,B,164,220,249,
,,,,2,D,99,179,232,
,,,,3,F,53,121,197,
,,,,4,H,27,60,142,
,,,,5,J,12,14,74,
Blues,4,seq,,1,C,129,201,243,
,,,,2,E,75,152,217,
,,,,3,G,38,88,171,
,,,,4,I,18,35,109,
Blues,3,seq,,1,A,200,235,254,
,,,,2,C,129,201,243,
,,,,3,E,75,152,217,
Greens,10,seq,,1,A,214,239,224,Sequential
,,,,2,B,185,228,206,
,,,,3,C,156,217,197,
,,,,4,D,126,205,180,
,,,,5,E,97,194,170,
,,,,6,F,79,171,156,
,,,,7,G,66,143,142,
,,,,8,H,53,115,114,
,,,,9,I,41,89,88,
,,,,10,J,27,59,59,
Greens,6,seq,,1,C,156,217,197,
,,,,2,D,126,205,180,
,,,,3,E,97,194,170,
,,,,4,F,79,171,156,
,,,,5,G,66,143,142,
,,,,6,H,53,115,114,
Greens,5,seq,,1,B,185,228,206,
,,,,2,D,126,205,180,
,,,,3,F,79,171,156,
,,,,4,H,53,115,114,
,,,,5,J,27,59,59,
Greens,4,seq,,1,C,156,217,197,
,,,,2,E,97,194,170,
,,,,3,G,66,143,142,
,,,,4,I,41,89,88,
Greens,3,seq,,1,A,214,239,224,
,,,,2,C,156,217,197,
,,,,3,E,97,194,170,
Purples,10,seq,,1,A,250,204,233,Sequential
,,,,2,B,242,171,218,
,,,,3,C,232,140,199,
,,,,4,D,221,110,178,
,,,,5,E,204,87,159,
,,,,6,F,182,68,137,
,,,,7,G,156,53,115,
,,,,8,H,135,35,94,
,,,,9,I,108,20,70,
,,,,10,J,73,13,48,
,6,seq,,1,C,232,140,199,
,,,,2,D,221,110,178,
,,,,3,E,204,87,159,
,,,,4,F,182,68,137,
,,,,5,G,156,53,115,
,,,,6,H,135,35,94,
Purples,5,seq,,1,B,242,171,218,
,,,,2,D,221,110,178,
,,,,3,F,182,68,137,
,,,,4,H,135,35,94,
,,,,5,J,73,13,48,
Purples,4,seq,,1,C,232,140,199,
,,,,2,E,204,87,159,
,,,,3,G,156,53,115,
,,,,4,I,108,20,70,
Purples,3,seq,,1,A,250,204,233,
,,,,2,C,232,140,199,
,,,,3,E,204,87,159,
PuGn,11,div,,1,A,73,13,48,Diverging
,,,,2,B,135,35,94,
,,,,3,C,182,68,137,
,,,,4,D,221,110,178,
,,,,5,E,242,171,218,
,,,,6,F,227,227,227,
,,,,7,G,185,228,206,
,,,,8,H,126,205,180,
,,,,9,I,79,171,156,
,,,,10,J,53,115,114,
,,,,11,K,27,59,59,
PuGn,7,div,,1,A,73,13,48,
,,,,2,C,182,68,137,
,,,,3,E,242,171,218,
,,,,4,G,185,228,206,
,,,,5,I,79,171,156,
,,,,6,K,27,59,59,
PuGn,5,div,,1,C,182,68,137,
,,,,2,D,221,110,178,
,,,,3,F,227,227,227,
,,,,4,H,126,205,180,
,,,,5,J,53,115,114,
PuGn,3,div,,1,D,221,110,178,
,,,,2,F,227,227,227,
,,,,3,H,126,205,180,
OrBu,11,div,,1,A,81,26,6,Diverging
,,,,2,B,159,50,9,
,,,,3,C,230,75,19,
,,,,4,D,255,126,77,
,,,,5,E,255,186,158,
,,,,6,F,227,227,227,
